species,genus,coral_id,treatment,timepoint,timepoint_label,dark_r2,light_r2,surface_area_cm2,resp_rate_umol_cm2_hr,photo_rate_umol_cm2_hr,gross_photo_rate,p_to_r_ratio,treatment_label,days_post_wound
Acropora pulchra,Acropora,58,1,Day 7,Day 7,0.9980769955279968,0.989532032201528,15.7538826599423,0.2453240882366917,-0.1059841794243486,0.1393399088123431,0.4806009903541802,Small Wound,7
Acropora pulchra,Acropora,41,0,Day 23,Day 23,0.8978367808589622,0.6554809666381922,18.3888614264487,0.19412437674440333,0.06582112145054683,0.25994549819495016,1.133056480473033,Control,23
Acropora pulchra,Acropora,43,1,Day 23,Day 23,0.9414896100791826,0.8985256699691136,10.5448617460974,0.2568469098975561,0.03539360513195418,0.29224051502951026,0.9627541787161438,Small Wound,23
Acropora pulchra,Acropora,45,2,Day 23,Day 23,0.8725250848819707,0.9944922712087636,15.2729668286849,0.218639366761962,0.14817244054414308,0.3668118073061051,1.4195944040792146,Large Wound,23
Acropora pulchra,Acropora,46,2,Day 23,Day 23,0.9010681311386294,0.9695077492465236,13.7032359412658,0.2313133029720742,0.07316765956057425,0.30448096253264845,1.1138042396062688,Large Wound,23
Acropora pulchra,Acropora,47,1,Day 23,Day 23,0.8635387904328151,0.9941463480991836,11.6417821252577,0.2245404026127108,0.1855188686785158,0.4100592712912266,1.5452596749484642,Small Wound,23
Acropora pulchra,Acropora,49,1,Day 23,Day 23,0.9241209446785974,0.03590804611382603,10.2260523748143,0.32510312910921024,-0.01239949869121615,0.3127036304179941,0.813881368381331,Small Wound,23
Acropora pulchra,Acropora,50,2,Day 23,Day 23,0.9535303501227576,0.9435037556163852,16.31855349552,0.31102176960558814,-0.04599042780305436,0.2650313418025338,0.7210340597763075,Large Wound,23
Acropora pulchra,Acropora,51,0,Day 23,Day 23,0.910605949119218,0.9857280675545572,17.6269610645688,0.22103938596304057,0.07383658139182189,0.29487596735486243,1.1288053159782705,Control,23
Acropora pulchra,Acropora,52,2,Day 23,Day 23,0.8536335404404246,0.9952461360985992,13.533024158292699,0.2680140036324627,0.2098767980655977,0.4778908016980604,1.5087612379123474,Large Wound,23
Acropora pulchra,Acropora,53,0,Day 23,Day 23,0.9617276884848328,0.9616836240523744,12.3368869207366,0.2884320664084538,-0.06220065039070747,0.22623141601774632,0.6636799616904047,Control,23
Acropora pulchra,Acropora,57,0,Day 23,Day 23,0.8850504418066548,0.9926492039670778,11.5479688155277,0.21484327090740216,0.13153027534540246,0.34637354625280464,1.3641819319259854,Control,23
