"channel","delta_t","value","temp","coral_id"
"4","27.453",47.036,28.517,"57"
"4","27.503",47.036,28.517,"57"
"4","27.553",47.012,28.523,"57"
"4","27.603",47.043,28.511,"57"
"4","27.653",47.039,28.511,"57"
"4","27.703",47.019,28.517,"57"
"4","27.753",47.012,28.523,"57"
"4","27.803",47.015,28.517,"57"
"4","27.853",47.019,28.517,"57"
"4","27.903",47.015,28.517,"57"
"4","27.953",47.023,28.517,"57"
"4","28.003",46.999,28.523,"57"
"4","28.053",46.967,28.529,"57"
"4","28.103",47.011,28.517,"57"
"4","28.153",46.999,28.523,"57"
"4","28.203",47.015,28.517,"57"
"4","28.253",46.959,28.529,"57"
"4","28.303",46.991,28.523,"57"
"4","28.352",46.991,28.523,"57"
"4","28.403",47.007,28.517,"57"
"4","28.453",46.983,28.523,"57"
"4","28.503",46.951,28.536,"57"
"4","28.553",46.975,28.523,"57"
"4","28.603",46.987,28.523,"57"
"4","28.653",46.975,28.523,"57"
"4","28.703",46.979,28.523,"57"
"4","28.753",46.955,28.529,"57"
"4","28.803",46.979,28.523,"57"
"4","28.853",46.971,28.523,"57"
"4","28.903",46.951,28.529,"57"
"4","28.953",46.955,28.529,"57"
"4","29.003",46.951,28.529,"57"
"4","29.052",46.971,28.523,"57"
"4","29.103",46.926,28.529,"57"
"4","29.153",46.955,28.523,"57"
"4","29.203",46.939,28.529,"57"
"4","29.252",46.983,28.517,"57"
"4","29.303",46.943,28.529,"57"
"4","29.353",46.935,28.529,"57"
"4","29.403",46.93,28.529,"57"
"4","29.453",46.93,28.529,"57"
"4","29.502",46.943,28.529,"57"
"4","29.553",46.906,28.536,"57"
"4","29.603",46.898,28.536,"57"
"4","29.653",46.895,28.542,"57"
"4","29.702",46.922,28.529,"57"
"4","29.753",46.874,28.542,"57"
"4","29.803",46.87,28.542,"57"
"4","29.853",46.922,28.529,"57"
"4","29.903",46.874,28.542,"57"
"4","29.952",46.862,28.542,"57"
"4","30.002",46.886,28.536,"57"
"4","30.053",46.866,28.542,"57"
"4","30.103",46.874,28.536,"57"
"4","30.153",46.882,28.536,"57"
"4","30.202",46.846,28.542,"57"
"4","30.253",46.858,28.542,"57"
"4","30.303",46.83,28.548,"57"
"4","30.353",46.85,28.542,"57"
"4","30.403",46.838,28.548,"57"
"4","30.453",46.846,28.542,"57"
"4","30.503",46.85,28.542,"57"
"4","30.552",46.826,28.548,"57"
"4","30.603",46.842,28.542,"57"
"4","30.653",46.794,28.554,"57"
"4","30.703",46.81,28.548,"57"
"4","30.753",46.814,28.548,"57"
"4","30.802",46.814,28.548,"57"
"4","30.853",46.81,28.548,"57"
"4","30.903",46.806,28.548,"57"
"4","30.953",46.814,28.548,"57"
"4","31.003",46.789,28.548,"57"
"4","31.053",46.794,28.548,"57"
"4","31.103",46.806,28.548,"57"
"4","31.153",46.794,28.548,"57"
"4","31.203",46.781,28.548,"57"
"4","31.252",46.805,28.542,"57"
"4","31.303",46.789,28.548,"57"
"4","31.353",46.781,28.548,"57"
"4","31.403",46.766,28.554,"57"
"4","31.453",46.761,28.554,"57"
"4","31.503",46.766,28.554,"57"
"4","31.553",46.757,28.554,"57"
"4","31.603",46.749,28.554,"57"
"4","31.653",46.757,28.554,"57"
"4","31.703",46.757,28.554,"57"
"4","31.753",46.725,28.56,"57"
"4","31.803",46.737,28.554,"57"
"4","31.853",46.725,28.56,"57"
"4","31.902",46.745,28.554,"57"
"4","31.952",46.741,28.554,"57"
"4","32.003",46.737,28.554,"57"
"4","32.053",46.705,28.56,"57"
"4","32.103",46.717,28.56,"57"
"4","32.153",46.717,28.56,"57"
"4","32.203",46.709,28.56,"57"
"4","32.252",46.713,28.56,"57"
"4","32.303",46.717,28.554,"57"
"4","32.353",46.697,28.56,"57"
"4","32.403",46.677,28.566,"57"
"4","32.452",46.689,28.56,"57"
"4","32.503",46.665,28.566,"57"
"4","32.553",46.685,28.56,"57"
"4","32.603",46.669,28.566,"57"
"4","32.653",46.665,28.566,"57"
"4","32.703",46.653,28.566,"57"
"4","32.753",46.673,28.56,"57"
"4","32.803",46.689,28.56,"57"
"4","32.853",46.657,28.56,"57"
"4","32.903",46.669,28.56,"57"
"4","32.953",46.657,28.566,"57"
"4","33.003",46.633,28.566,"57"
"4","33.053",46.621,28.572,"57"
"4","33.103",46.676,28.554,"57"
"4","33.152",46.641,28.566,"57"
"4","33.203",46.637,28.566,"57"
"4","33.253",46.629,28.566,"57"
"4","33.303",46.609,28.572,"57"
"4","33.352",46.64,28.56,"57"
"4","33.402",46.621,28.566,"57"
"4","33.453",46.625,28.566,"57"
"4","33.503",46.628,28.56,"57"
"4","33.553",46.609,28.566,"57"
"4","33.602",46.617,28.566,"57"
"4","33.653",46.632,28.56,"57"
"4","33.703",46.585,28.572,"57"
"4","33.753",46.604,28.566,"57"
"4","33.803",46.616,28.56,"57"
"4","33.853",46.592,28.566,"57"
"4","33.902",46.588,28.566,"57"
"4","33.953",46.573,28.572,"57"
"4","34.003",46.56,28.572,"57"
"4","34.053",46.552,28.572,"57"
"4","34.102",46.552,28.572,"57"
"4","34.153",46.572,28.566,"57"
"4","34.203",46.588,28.566,"57"
"4","34.253",46.556,28.572,"57"
"4","34.303",46.552,28.572,"57"
"4","34.352",46.544,28.572,"57"
"4","34.403",46.54,28.572,"57"
"4","34.453",46.56,28.566,"57"
"4","34.503",46.544,28.572,"57"
"4","34.553",46.528,28.572,"57"
"4","34.602",46.544,28.566,"57"
"4","34.653",46.512,28.578,"57"
"4","34.703",46.524,28.572,"57"
"4","34.753",46.516,28.572,"57"
"4","34.802",46.544,28.566,"57"
"4","34.853",46.52,28.572,"57"
"4","34.903",46.488,28.578,"57"
"4","34.953",46.52,28.572,"57"
"4","35.003",46.504,28.572,"57"
"4","35.053",46.532,28.566,"57"
"4","35.103",46.536,28.566,"57"
"4","35.153",46.48,28.578,"57"
"4","35.203",46.484,28.578,"57"
"4","35.252",46.484,28.572,"57"
"4","35.303",46.496,28.566,"57"
"4","35.353",46.46,28.578,"57"
"4","35.403",46.488,28.572,"57"
"4","35.453",46.488,28.572,"57"
"4","35.502",46.504,28.566,"57"
"4","35.553",46.48,28.572,"57"
"4","35.603",46.48,28.572,"57"
"4","35.653",46.476,28.572,"57"
"4","35.703",46.464,28.572,"57"
"4","35.753",46.44,28.578,"57"
"4","35.803",46.464,28.572,"57"
"4","35.853",46.464,28.572,"57"
"4","35.903",46.452,28.572,"57"
"4","35.953",46.452,28.572,"57"
"4","36.003",46.444,28.572,"57"
"4","36.053",46.456,28.572,"57"
"4","36.103",46.436,28.572,"57"
"4","36.153",46.416,28.578,"57"
"4","36.203",46.428,28.578,"57"
"4","36.253",46.444,28.572,"57"
"4","36.303",46.42,28.578,"57"
"4","36.353",46.412,28.578,"57"
"4","36.403",46.459,28.566,"57"
"4","36.453",46.424,28.572,"57"
"4","36.502",46.408,28.578,"57"
